Log Timestamp: 1638985443293 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T17:44:03.298493700Z
Log Timestamp: 1638985460794 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T17:44:20.800230Z
Log Timestamp: 1638985495728 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T17:44:55.738994600Z
Log Timestamp: 1638985509821 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T17:45:09.834513500Z
Log Timestamp: 1638986705279 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:05:05.298023100Z
Log Timestamp: 1638986705403 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:05:05.403199700Z
Log Timestamp: 1638986705450 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:05:05.450116600Z
Log Timestamp: 1638987343100 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:15:43.119975800Z
Log Timestamp: 1638987354666 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:15:54.672449200Z
Log Timestamp: 1638987354902 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:15:54.902893Z
Log Timestamp: 1638987354962 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:15:54.962466300Z
Log Timestamp: 1638987451590 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:17:31.596351500Z
Log Timestamp: 1638987451667 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:17:31.667387100Z
Log Timestamp: 1638987451680 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:17:31.680619900Z
Log Timestamp: 1638987553536 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:19:13.541283600Z
Log Timestamp: 1638987575379 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:19:35.384843300Z
Log Timestamp: 1638987575489 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:19:35.489869400Z
Log Timestamp: 1638987575519 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:19:35.519922600Z
Log Timestamp: 1638987585882 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:19:45.887960Z
Log Timestamp: 1638987585940 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:19:45.940556800Z
Log Timestamp: 1638987586004 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:19:46.004659800Z
Log Timestamp: 1638987613864 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:20:13.869400500Z
Log Timestamp: 1638987709716 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:21:49.725341100Z
Log Timestamp: 1638988536017 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:35:36.038014600Z
Log Timestamp: 1638988546001 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:35:46.016201900Z
Log Timestamp: 1638988546090 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:35:46.090145900Z
Log Timestamp: 1638988546113 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:35:46.114723900Z
Log Timestamp: 1638988554706 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:35:54.726718800Z
Log Timestamp: 1638988554787 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:35:54.787313200Z
Log Timestamp: 1638988554798 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:35:54.798285Z
Log Timestamp: 1638988634116 |:| Username: vivekpatel810 |:| Database: centDB |:| Message: null |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T18:37:14.124836300Z
Log Timestamp: 1638996063206 |:| Username: null |:| Database: someDB |:| Message: newDBdatabase created |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T20:41:03.212300900Z
Log Timestamp: 1638998325945 |:| Username: null |:| Database: newDB |:| Message: people2table created |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T21:18:45.946692300Z
Log Timestamp: 1638998402833 |:| Username: null |:| Database: newDB |:| Message: people3table created |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T21:20:02.833089700Z
Log Timestamp: 1639001593213 |:| Username: null |:| Database: newDB |:| Message: data inserted into people2 |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T22:13:13.213399400Z
Log Timestamp: 1639001593300 |:| Username: null |:| Database: newDB |:| Message: data inserted into people2 |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T22:13:13.300397500Z
Log Timestamp: 1639001593345 |:| Username: null |:| Database: newDB |:| Message: data inserted into people2 |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T22:13:13.345397600Z
Log Timestamp: 1639003099030 |:| Username: dee |:| Database: newDB |:| Message: testDBdatabase created |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T22:38:19.202635200Z
Log Timestamp: 1639004133489 |:| Username: dee |:| Database: testDB |:| Message: testTabletable created |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T22:55:33.490098800Z
Log Timestamp: 1639004587781 |:| Username: dee |:| Database: testDB |:| Message: data inserted into testTable |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T23:03:07.782738600Z
Log Timestamp: 1639004587904 |:| Username: dee |:| Database: testDB |:| Message: data inserted into testTable |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-08T23:03:07.905738900Z
Log Timestamp: 1639008560000 |:| Username: dee |:| Database: newDB |:| Message: people4table created |:| Query Execution Time: 0ms |:| Number of Tables: 3 |:| Number of Records: 3 |:| Timestamp: 2021-12-09T00:09:20.000943200Z
Log Timestamp: 1639008917257 |:| Username: dee |:| Database: newDB |:| Message: CSCI5408database created |:| Query Execution Time: 0ms |:| Number of Tables: 0 |:| Number of Records: 0 |:| Timestamp: 2021-12-09T00:15:17.258133200Z
Log Timestamp: 1639009093451 |:| Username: dee |:| Database: CSCI5408 |:| Message: assignmentstable created |:| Query Execution Time: 0ms |:| Number of Tables: 1 |:| Number of Records: 0 |:| Timestamp: 2021-12-09T00:18:13.453408Z
Log Timestamp: 1639009236621 |:| Username: dee |:| Database: CSCI5408 |:| Message: studentstable created |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 0 |:| Timestamp: 2021-12-09T00:20:36.623524800Z
Log Timestamp: 1639009346937 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into assignments |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 1 |:| Timestamp: 2021-12-09T00:22:26.938960900Z
Log Timestamp: 1639009346952 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into assignments |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 2 |:| Timestamp: 2021-12-09T00:22:26.952031700Z
Log Timestamp: 1639009347124 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into assignments |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 3 |:| Timestamp: 2021-12-09T00:22:27.124808700Z
Log Timestamp: 1639009687066 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into students |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 4 |:| Timestamp: 2021-12-09T00:28:07.069066400Z
Log Timestamp: 1639009687089 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into students |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 5 |:| Timestamp: 2021-12-09T00:28:07.089655700Z
Log Timestamp: 1639009687104 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into students |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 6 |:| Timestamp: 2021-12-09T00:28:07.104224300Z
Log Timestamp: 1639009687128 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into students |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 7 |:| Timestamp: 2021-12-09T00:28:07.129760900Z
Log Timestamp: 1639009687217 |:| Username: dee |:| Database: CSCI5408 |:| Message: data inserted into students |:| Query Execution Time: 0ms |:| Number of Tables: 2 |:| Number of Records: 8 |:| Timestamp: 2021-12-09T00:28:07.218513400Z
Log Timestamp: 1639021027843 |:| Username: dee |:| Database: newDB |:| Message: data updated into people2 |:| Query Execution Time: 0ms |:| Number of Tables: 3 |:| Number of Records: 3 |:| Timestamp: 2021-12-09T03:37:07.843440900Z
Log Timestamp: 1639022262816 |:| Username: dee |:| Database: CSCI5408 |:| Message: studentstable created |:| Query Execution Time: 0ms |:| Number of Tables: 3 |:| Number of Records: 27 |:| Timestamp: 2021-12-09T03:57:42.820242300Z
